,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,RPG,H2_Nm3,Recycle,RPGtoRecycle%,I/LFlow_Rx1,I/LTemp_Rx1,H2toRPG,H2toRecycle,H2toHC,DeC5BTM_Flow,1st bed △P_Rx2,Duty,LMTD,UA,I/LTemp_Rx2,C5 wt%_x,Benzene wt%_x,Bromine Number g/100g_x,C4 wt%_x,Styrene wt%_x,Toluene wt%_x,Xylenes wt%_x,"Indene
wt%",C6~C9 NA wt%_x,C10+ NA wt%_x,C9 Aro wt%_x,C10 Aro wt%_x,DV g/100g_y,EB wt%_x,2-Methylindene wt%,Unnamed: 0.1.1.1.1,DeC5_I/L_Temp,DeC5_l/L_Flow,DeC5_O/H_Temp.,DeC5_O/H_Press,DeC5_O/H_Flow,C5_BTM_Flow,DeC5_BTM_Flow,DeC5_BTM_Temp,Unnamed: 0.1.1.1.1.1,Rx2_RPG_temp,Rx2_H2_temp,Rx2_H2_Flow,Rx2_Feed_Temp,Rx2_1st_bed_△P,Rx2_2_3_bed_△P,RX2_1st_bed_O/L_T,RX2_1st_bed_I/L_T,Rx2_1st_bed_△T,Rx2_2nd_O/L_T,Rx2_2nd_I/L_T,Rx2_2nd_bed_△T,C5 wt%_y,Benzene wt%_y,Bromine Number g/100g_y,C4 wt%_y,Styrene wt%_y,Toluene wt%_y,Xylenes wt%_y,C6~C9 NA wt%_y,C10+ NA wt%_y,C9 Aro wt%_y,C10 Aro wt%_y,DV g/100g,EB wt%_y,G_B
0,0,0,0,0,2013-07-01,88.416,2115.8089999999997,71.192,55.396,161.723,64.992,23.93,29.72,8.94,69.184,0.185,217516.454,12.13473927,17925.1032,289.825,17.934,33.6734,36.0,1.5599,0.1641,14.5184,3.267,,10.2004,3.1926,5.9682,3.1142,0.53,6.4078,,2,126.931,88.257,70.194,4.301,69.686,84.75,69.184,164.606,2,243.731,457.397,16.647,289.825,0.185,0.515,321.066,289.825,31.241,335.779,320.914,14.864,0.33799999999999997,41.5615,109.0,0.1678,0.0067,18.0335,3.9731,12.5179,3.866,7.5282,3.9939,,8.0134,A
1,1,1,1,1,2013-09-01,87.879,2020.4389999999999,36.736,70.52,126.63600000000001,67.825,22.991,54.998999999999995,9.808,69.657,0.185,214823.87399999998,12.02672737,17862.20532,287.014,17.4747,35.5136,38.0,1.5462,0.235,14.7239,2.9567,,9.8113,2.9083,5.7093,2.6716,0.71,6.4494,,3,127.545,87.419,70.377,4.298,67.039,85.378,69.657,164.943,3,240.34799999999998,449.603,16.258,287.014,0.185,0.508,316.363,287.014,29.348,336.042,316.038,20.004,0.4471,41.5025,175.0,0.0,0.0046,17.5711,3.8367,11.3855,3.6134,8.6939,3.928,,9.0172,B
2,2,2,2,2,2013-11-01,86.588,2023.481,53.527,61.798,142.138,68.382,23.369,37.803000000000004,9.861,67.229,0.184,199129.918,11.26487012,17677.07181,285.4,14.6373,33.5901,,1.4382,0.2983,15.4584,4.2486,,9.2809,3.0609,7.0174,3.617,0.89,7.3529,,4,124.438,85.462,69.621,4.158,60.158,83.154,67.229,165.831,4,239.468,447.79900000000004,15.76,285.4,0.184,0.496,313.524,285.4,28.124,334.535,313.443,21.092,0.6546,39.0989,159.0,0.0008,0.0,18.2062,5.083,12.2558,3.4224,8.2606,4.3468,,8.6709,E
3,3,3,3,3,2013-01-14,90.99799999999999,2130.0229999999997,35.545,71.911,128.673,70.44,23.406999999999996,59.925,11.087,71.283,0.204,180683.00100000002,11.12419892,16242.338240000001,282.11,16.7084,30.5015,42.0,1.7922,0.3268,15.9709,5.1187,,9.7139,2.7807,6.7658,3.4075,0.99,6.9136,,5,126.431,89.975,67.425,4.144,62.069,87.183,71.283,166.982,5,243.91299999999998,448.162,15.457,282.11,0.204,0.505,308.277,282.11,26.166,335.585,307.999,27.586,0.6922,37.7653,175.0,0.1963,0.0089,19.6605,6.1433,10.7454,3.1971,8.5252,4.3277,,8.7381,E
4,4,4,4,4,2013-01-15,91.006,2130.009,30.473,74.915,123.609,73.155,23.405,69.898,11.107999999999999,70.02,0.209,201621.15300000002,11.52478,17494.5804,280.004,12.751,28.4668,,1.1179,0.4172,16.9127,6.2379999999999995,,8.8269,3.2527,9.0723,4.5386,1.17,8.4059,,6,124.745,89.869,66.43,4.15,60.304,85.918,70.02,165.553,6,241.122,438.39599999999996,15.674000000000001,280.004,0.209,0.502,304.957,280.004,24.953,334.7,304.764,29.936,,,202.0,,,,,,,,,,,
5,5,5,5,5,2013-01-16,90.99799999999999,2129.974,25.000999999999998,78.447,118.12899999999999,76.336,23.406999999999996,85.196,11.006,69.956,0.214,209958.696,11.71559785,17921.29595,279.995,17.1765,33.0523,44.0,1.8075,0.3343,14.4267,1.2504,,11.965,2.9361,6.1795,4.3111,0.93,6.5606,,7,125.146,89.82,67.929,4.149,61.266,85.861,69.956,165.129,7,242.442,439.06,15.602,279.995,0.214,0.504,305.07599999999996,279.995,25.081,336.431,304.873,31.558,0.5835,37.4819,207.0,0.0009,0.0057,17.7596,5.6251,10.8081,4.3277,9.5096,4.9261,,8.9718,C
6,6,6,6,6,2013-01-18,90.99600000000001,2122.827,44.656,67.08,137.775,82.026,23.329,47.537,10.014,69.473,0.222,230117.488,12.34487919,18640.72415,279.997,18.5003,34.9277,,2.0566,0.2128,14.0789,3.6117,,9.6897,2.5674,5.5495,2.6688,0.7,6.1366,,8,124.808,90.047,67.057,4.149,66.22,85.447,69.473,164.118,8,238.957,447.07,15.54,279.997,0.222,0.495,301.085,279.997,21.088,331.632,300.85,30.782,0.3446,42.8179,225.0,0.2132,0.0051,17.7398,4.6075,11.4778,3.2974,7.823,3.5002,,8.1735,A
7,7,7,7,7,2013-01-18,90.99600000000001,2122.827,44.656,67.08,137.775,82.026,23.329,47.537,10.014,69.473,0.222,230117.488,12.34487919,18640.72415,279.997,18.294,34.961999999999996,,2.0592,0.2172,14.1879,3.6525,,10.8579,2.5571,4.3088,2.6982,0.75,6.2052,,8,124.808,90.047,67.057,4.149,66.22,85.447,69.473,164.118,8,238.957,447.07,15.54,279.997,0.222,0.495,301.085,279.997,21.088,331.632,300.85,30.782,0.3446,42.8179,225.0,0.2132,0.0051,17.7398,4.6075,11.4778,3.2974,7.823,3.5002,,8.1735,A
8,8,8,8,8,2013-01-21,91.00399999999999,2110.019,26.976999999999997,77.134,120.09100000000001,86.945,23.186,78.215,10.79,71.49,0.22899999999999998,186555.924,11.57714684,16114.15376,280.001,18.3471,33.6176,42.0,1.8198,0.2124,14.7806,3.7674,,9.9277,2.9369,5.3968,3.1464,0.79,6.0473,,10,127.956,89.871,69.093,4.15,63.444,87.42,71.49,166.534,10,245.648,449.548,14.814,280.001,0.22899999999999998,0.485,300.015,280.001,20.013,335.509,299.892,35.616,0.8635,37.6362,244.0,0.0048,0.0064,18.5362,5.6359,12.334000000000001,3.6489,8.1835,4.5509,,8.5997,H
9,9,9,9,9,2013-01-21,91.00399999999999,2110.019,26.976999999999997,77.134,120.09100000000001,86.945,23.186,78.215,10.79,71.49,0.22899999999999998,186555.924,11.57714684,16114.15376,280.001,16.5575,30.875999999999998,,1.6257,0.2824,15.384,4.8626,,9.7656,3.0486,6.4894,4.0668,0.95,7.0414,,10,127.956,89.871,69.093,4.15,63.444,87.42,71.49,166.534,10,245.648,449.548,14.814,280.001,0.22899999999999998,0.485,300.015,280.001,20.013,335.509,299.892,35.616,0.8635,37.6362,244.0,0.0048,0.0064,18.5362,5.6359,12.334000000000001,3.6489,8.1835,4.5509,,8.5997,H
10,10,10,10,10,2013-01-23,90.999,2267.203,27.0,77.118,120.266,90.013,24.915,83.97,12.119,70.958,0.244,155078.379,10.9181445,14203.73022,280.457,16.8296,30.6998,42.0,1.7845,0.2153,15.7609,4.8617,,11.4233,3.0811,4.6884,3.7426,0.63,6.9128,,11,129.066,89.408,66.989,4.15,64.877,86.859,70.958,167.87,11,247.085,453.88699999999994,14.344000000000001,280.457,0.244,0.47100000000000003,299.111,280.457,18.654,336.04,298.99,37.05,0.7902,35.7722,234.0,0.0014,0.0077,19.0052,6.2113,11.6489,3.8573,8.5411,5.0697,,9.095,G
11,11,11,11,11,2013-01-23,90.999,2267.203,27.0,77.118,120.266,90.013,24.915,83.97,12.119,70.958,0.244,155078.379,10.9181445,14203.73022,280.457,16.3239,30.0721,,1.7734,0.1976,15.6615,4.9943,,10.4361,3.1224,6.4337,3.9589999999999996,0.62,7.026,,11,129.066,89.408,66.989,4.15,64.877,86.859,70.958,167.87,11,247.085,453.88699999999994,14.344000000000001,280.457,0.244,0.47100000000000003,299.111,280.457,18.654,336.04,298.99,37.05,0.7902,35.7722,234.0,0.0014,0.0077,19.0052,6.2113,11.6489,3.8573,8.5411,5.0697,,9.095,G
