Date,DeC5_I/L_Temp,DeC5_l/L_Flow,DeC5_O/H_Temp.,DeC5_O/H_Press,DeC5_O/H_Flow,C5_BTM_Flow,DeC5_BTM_Flow,DeC5_BTM_Temp
5/1/13,67.900,56.109,39.337,4.070,37.476,22.268,36.337,150.759
6/1/13,124.712,73.510,71.203,4.304,63.312,72.912,57.393,164.260
7/1/13,126.931,88.257,70.194,4.301,69.686,84.750,69.184,164.606
8/1/13,126.524,88.678,70.303,4.299,73.038,85.695,69.893,164.580
9/1/13,127.545,87.419,70.377,4.298,67.039,85.378,69.657,164.943
10/1/13,124.912,82.669,69.921,4.291,62.578,81.844,65.781,166.528
11/1/13,124.438,85.462,69.621,4.158,60.158,83.154,67.229,165.831
12/1/13,126.286,90.296,67.831,4.153,63.166,87.072,71.211,167.037
13/1/13,126.515,90.216,67.913,4.148,62.345,86.969,71.054,167.716
14/1/13,126.431,89.975,67.425,4.144,62.069,87.183,71.283,166.982
15/1/13,124.745,89.869,66.430,4.150,60.304,85.918,70.020,165.553
16/1/13,125.146,89.820,67.929,4.149,61.266,85.861,69.956,165.129
17/1/13,125.202,90.043,67.901,4.151,63.323,85.804,69.840,164.870
18/1/13,124.808,90.047,67.057,4.149,66.220,85.447,69.473,164.118
19/1/13,125.414,89.949,67.512,4.151,69.181,85.782,69.855,164.220
20/1/13,127.108,89.844,69.122,4.149,65.126,86.682,70.766,165.985
21/1/13,127.956,89.871,69.093,4.150,63.444,87.420,71.490,166.534
22/1/13,128.648,89.775,67.661,4.149,65.289,87.371,71.419,167.338
23/1/13,129.066,89.408,66.989,4.150,64.877,86.859,70.958,167.870
24/1/13,128.764,87.789,66.930,4.150,65.727,86.142,70.195,167.073
25/1/13,128.633,87.599,68.251,4.151,65.779,86.461,70.475,167.025
26/1/13,128.693,85.380,69.320,4.151,67.052,85.459,69.422,167.061
27/1/13,129.437,85.848,69.198,4.151,68.388,85.286,69.207,167.300
28/1/13,129.340,85.958,68.236,4.150,71.696,85.202,69.132,166.870
29/1/13,129.912,88.272,67.405,4.153,75.154,85.823,69.826,166.494
30/1/13,130.353,88.869,69.740,4.146,77.059,86.250,70.278,166.222
31/1/13,130.569,88.898,69.326,4.150,77.816,86.466,70.491,166.445
1/2/13,130.184,88.770,68.231,4.149,78.285,86.491,70.384,166.598
2/2/13,130.417,88.829,70.172,4.151,77.875,87.239,71.087,166.641
3/2/13,130.582,87.933,70.149,4.150,78.178,87.323,71.205,166.751
4/2/13,130.680,88.039,69.751,4.162,79.808,87.370,71.219,166.896
5/2/13,130.262,89.262,68.870,4.150,81.888,87.569,71.492,166.470
6/2/13,129.970,89.924,68.905,4.149,84.397,87.422,71.318,166.195
7/2/13,129.769,89.100,69.522,4.150,83.959,86.960,70.790,166.435
8/2/13,129.566,88.962,68.339,4.150,78.623,87.044,70.846,166.483
9/2/13,129.828,88.516,68.278,4.149,62.223,86.856,70.700,166.260
10/2/13,129.891,88.478,69.846,4.153,61.291,86.606,70.504,166.751
11/2/13,129.565,88.472,68.944,4.150,63.763,86.606,70.464,166.673
12/2/13,129.527,88.374,68.054,4.150,65.603,86.645,70.494,166.567
13/2/13,128.945,89.172,68.370,4.150,66.585,86.642,70.544,165.968
14/2/13,128.909,89.878,68.445,4.150,69.318,86.725,70.689,165.459
15/2/13,128.680,89.951,68.175,4.150,70.681,86.396,70.355,165.583
16/2/13,128.129,90.035,69.302,4.150,71.208,85.695,69.675,165.457
17/2/13,127.849,89.925,69.569,4.149,72.243,85.080,69.161,165.210
18/2/13,128.167,89.912,70.423,4.151,76.065,84.859,68.916,165.568
19/2/13,127.811,90.075,70.959,4.150,75.759,84.373,68.376,165.698
20/2/13,105.775,68.088,62.766,3.749,59.941,64.653,57.970,155.199
21/2/13,103.246,58.320,70.341,4.149,50.160,57.896,41.136,164.045
22/2/13,104.593,66.634,70.150,4.150,49.570,69.638,52.751,164.339
23/2/13,102.140,83.909,69.818,4.151,55.833,82.632,65.852,165.509
24/2/13,106.055,88.217,67.827,4.149,58.738,85.554,68.838,165.712
