,Date,DeC5_I/L_Temp,DeC5_l/L_Flow,DeC5_O/H_Temp.,DeC5_O/H_Press,DeC5_O/H_Flow,C5_BTM_Flow,DeC5_BTM_Flow,DeC5_BTM_Temp,Unnamed: 0,Rx2_RPG_temp,Rx2_H2_temp,Rx2_H2_Flow,Rx2_Feed_Temp,Rx2_1st_bed_△P,Rx2_2_3_bed_△P,RX2_1st_bed_O/L_T,RX2_1st_bed_I/L_T,Rx2_1st_bed_△T,Rx2_2nd_O/L_T,Rx2_2nd_I/L_T,Rx2_2nd_bed_△T,C5 wt%,Benzene wt%,Bromine Number g/100g,C4 wt%,Styrene wt%,Toluene wt%,Xylenes wt%,C6~C9 NA wt%,C10+ NA wt%,C9 Aro wt%,C10 Aro wt%,DV g/100g,EB wt%
0,2013-05-01,67.9,56.108999999999995,39.336999999999996,4.07,37.476,22.268,36.336999999999996,150.759,0,230.012,343.001,18.595,306.874,0.054000000000000006,0.16399999999999998,311.411,306.874,4.537,313.541,311.091,2.45,1.486,39.4791,270.0,0.0,0.0081,17.8636,4.3357,13.7056,4.1714,6.9915,4.2177,,7.7413
1,2013-06-01,124.712,73.51,71.203,4.303999999999999,63.312,72.91199999999999,57.393,164.26,1,240.565,448.92,16.947,292.495,0.16399999999999998,0.458,320.393,292.495,27.899,330.465,320.583,9.882,,,166.0,,,,,,,,,,
2,2013-07-01,126.931,88.257,70.194,4.301,69.686,84.75,69.184,164.606,2,243.731,457.397,16.647000000000002,289.825,0.185,0.515,321.066,289.825,31.241,335.779,320.914,14.864,0.338,41.5615,109.0,0.1678,0.0067,18.0335,3.9731,12.5179,3.866,7.5282,3.9939,,8.0134
3,2013-09-01,127.545,87.419,70.377,4.298,67.039,85.37799999999999,69.657,164.94299999999998,3,240.348,449.603,16.258,287.014,0.185,0.508,316.363,287.014,29.348000000000003,336.042,316.038,20.004,0.4471,41.5025,175.0,0.0,0.0046,17.5711,3.8367,11.3855,3.6134,8.6939,3.928,,9.0172
4,2013-11-01,124.43799999999999,85.462,69.62100000000001,4.158,60.158,83.154,67.229,165.831,4,239.468,447.799,15.76,285.4,0.184,0.496,313.524,285.4,28.124000000000002,334.535,313.443,21.092,0.6546,39.0989,159.0,0.0008,0.0,18.2062,5.083,12.2558,3.4224,8.2606,4.3468,,8.6709
5,2013-01-14,126.431,89.975,67.425,4.144,62.068999999999996,87.18299999999999,71.283,166.982,5,243.913,448.162,15.457,282.11,0.204,0.505,308.277,282.11,26.166,335.585,307.999,27.586,0.6922,37.7653,175.0,0.1963,0.0089,19.6605,6.1433,10.7454,3.1971,8.5252,4.3277,,8.7381
6,2013-01-15,124.745,89.869,66.43,4.15,60.303999999999995,85.91799999999999,70.02,165.553,6,241.122,438.396,15.674,280.004,0.209,0.502,304.957,280.004,24.953000000000003,334.7,304.764,29.936,,,202.0,,,,,,,,,,
7,2013-01-16,125.146,89.82,67.929,4.149,61.266000000000005,85.861,69.956,165.12900000000002,7,242.442,439.06,15.602,279.995,0.214,0.504,305.076,279.995,25.081,336.431,304.873,31.558000000000003,0.5835,37.4819,207.0,0.0009,0.0057,17.7596,5.6251,10.8081,4.3277,9.5096,4.9261,,8.9718
8,2013-01-18,124.80799999999999,90.04700000000001,67.057,4.149,66.22,85.447,69.473,164.118,8,238.957,447.07,15.54,279.997,0.222,0.495,301.085,279.997,21.088,331.63199999999995,300.85,30.781999999999996,0.3446,42.8179,225.0,0.2132,0.0051,17.7398,4.6075,11.4778,3.2974,7.822999999999999,3.5002,,8.1735
9,2013-01-19,125.414,89.949,67.512,4.151,69.181,85.78200000000001,69.855,164.22,9,240.208,449.203,15.263,280.007,0.215,0.493,301.269,280.007,21.261,332.607,301.1040000000001,31.503,0.6429,43.3592,,0.0006,0.0018,17.0306,4.3505,12.3967,3.2421,7.1374,3.8255,,8.0127
10,2013-01-21,127.956,89.87100000000001,69.093,4.15,63.443999999999996,87.42,71.49,166.53400000000002,10,245.648,449.548,14.814,280.001,0.229,0.485,300.015,280.001,20.012999999999998,335.509,299.892,35.616,0.8635,37.6362,244.0,0.0048,0.0064,18.5362,5.6359,12.334,3.6489,8.1835,4.5509,,8.5997
11,2013-01-23,129.066,89.40799999999999,66.98899999999999,4.15,64.877,86.859,70.958,167.87,11,247.085,453.887,14.344,280.457,0.244,0.471,299.111,280.457,18.654,336.04,298.99,37.05,0.7902,35.7722,234.0,0.0014,0.0077,19.0052,6.2113,11.6489,3.8573,8.5411,5.0697,,9.095
12,2013-01-25,128.63299999999998,87.59899999999999,68.251,4.151,65.779,86.461,70.475,167.025,12,244.716,456.207,14.312,279.996,0.26,0.471,297.465,279.996,17.469,333.0540000000001,297.284,35.769,0.7859,36.2059,254.0,0.0007,0.006,20.6266,5.6084,11.3096,3.4785,8.2504,4.8373,,8.8907
13,2013-01-28,129.34,85.958,68.236,4.15,71.696,85.20200000000001,69.132,166.87,13,244.209,464.573,13.959,283.001,0.263,0.458,298.9190000000001,283.001,15.918,333.029,298.964,34.064,0.3087,37.2772,270.0,0.29100000000000004,0.0,21.6377,5.2685,11.38,3.3661,7.5054,4.2703,,8.6951
14,2013-01-30,130.35299999999998,88.869,69.74,4.146,77.059,86.25,70.278,166.222,14,244.775,461.084,14.26,283.009,0.249,0.475,298.089,283.009,15.08,335.0080000000001,298.764,36.243,0.7297,37.879,255.0,0.0013,0.0028,19.8942,5.3504,11.2095,3.8113,8.1707,4.2231,,8.728
15,2013-01-31,130.569,88.898,69.32600000000001,4.15,77.816,86.46600000000001,70.491,166.445,15,245.284,461.55800000000005,14.179,283.014,0.255,0.473,297.271,283.014,14.257,335.235,298.433,36.802,,,263.0,,,,,,,,,,
16,2013-01-02,130.184,88.77,68.23100000000001,4.149,78.285,86.491,70.384,166.59799999999998,16,244.803,462.785,14.332,283.006,0.26,0.47,296.519,283.006,13.513,334.87,298.026,36.844,0.3491,36.4704,263.0,0.3273,0.0072,19.5441,5.8679,11.172,4.0196,5.5276,7.8447,,8.8701
17,2013-04-02,130.68,88.039,69.751,4.162,79.808,87.37,71.219,166.896,17,246.125,465.089,14.078,283.045,0.261,0.466,295.684,283.045,12.639000000000001,335.156,297.175,37.98,0.7629,37.4422,257.0,0.0009,0.0,20.2916,5.7174,11.2673,3.7702,7.6989,4.3159,,8.7327
18,2013-06-02,129.97,89.92399999999999,68.905,4.149,84.397,87.42200000000001,71.318,166.195,18,245.791,458.377,14.392,283.045,0.161,0.474,296.565,283.045,13.52,338.00699999999995,298.06,39.946,0.7709,38.0884,311.0,0.0013,0.0021,19.2584,5.1929,11.470999999999998,4.4398,7.6797,4.5439,,8.5516
19,2013-08-02,129.566,88.962,68.339,4.15,78.623,87.044,70.846,166.483,19,244.826,461.595,14.265,283.041,0.16399999999999998,0.467,296.182,283.041,13.140999999999998,336.158,297.706,38.453,0.6542,39.4646,313.0,0.0,0.0,20.1972,4.6939,11.2697,3.8373,7.3521,4.0793,,8.4517
20,2013-11-02,129.565,88.47200000000001,68.944,4.15,63.763000000000005,86.60600000000001,70.464,166.673,20,245.402,458.466,14.309,283.0440000000001,0.162,0.467,296.1670000000001,283.0440000000001,13.122,337.372,297.676,39.696,,,,,,,,,,,,,
21,2013-02-13,128.945,89.17200000000001,68.37,4.15,66.585,86.64200000000001,70.544,165.968,21,245.622,455.732,14.287,283.047,0.16699999999999998,0.47,296.0420000000001,283.047,12.995,339.0680000000001,297.881,41.187,0.7498,40.7946,305.0,0.0,0.0,19.85,4.9095,12.0794,3.4782,6.8737,3.2936,,7.9712
22,2013-02-15,128.68,89.95100000000001,68.175,4.15,70.681,86.396,70.355,165.583,22,245.285,452.821,14.41,283.0440000000001,0.181,0.47,295.153,283.0440000000001,12.109000000000002,339.886,296.656,43.23,0.7907,39.4585,357.0,0.0,0.0,18.9319,4.9110000000000005,11.5865,3.9909,8.0524,3.6895,,8.5886
23,2013-02-18,128.167,89.912,70.423,4.151,76.065,84.859,68.916,165.56799999999998,23,244.612,446.921,14.542,282.964,0.192,0.465,293.313,282.964,10.349,340.468,293.925,46.543,0.8288,40.7567,298.0,0.0,0.0,18.9627,4.4545,11.3367,4.1174,7.9659,3.1896,,8.3877
24,2013-02-20,105.775,68.08800000000001,62.766000000000005,3.7489999999999997,59.941,64.653,57.97,155.19899999999998,24,235.905,370.77,16.203,281.905,0.08199999999999999,0.276,286.259,281.905,4.354,310.82,286.313,24.508000000000003,0.5936,41.2512,394.0,0.0,0.006999999999999999,19.9397,4.6647,11.8368,3.5384,7.0379999999999985,2.978,,8.1526
25,2013-02-21,103.24600000000001,58.32,70.34100000000001,4.149,50.16,57.896,41.136,164.045,25,228.898,428.99300000000005,15.62,280.937,0.113,0.316,282.825,280.937,1.889,298.944,282.888,16.055,1.1647,40.5431,,0.2689,0.0067,19.3052,2.2313,14.4084,3.7027,7.3819,3.0027,,7.9844
26,2013-02-21,103.24600000000001,58.32,70.34100000000001,4.149,50.16,57.896,41.136,164.045,26,228.898,428.99300000000005,15.62,280.937,0.113,0.316,282.825,280.937,1.889,298.944,282.888,16.055,0.6283,41.048,1830.0,0.0015,0.0063,19.5131,4.8279,11.4627,3.7833,7.7202,2.9969,,8.0118
27,2013-02-21,103.24600000000001,58.32,70.34100000000001,4.149,50.16,57.896,41.136,164.045,27,228.898,428.99300000000005,15.62,280.937,0.113,0.316,282.825,280.937,1.889,298.944,282.888,16.055,,,880.0,,,,,,,,,,
28,2013-02-21,103.24600000000001,58.32,70.34100000000001,4.149,50.16,57.896,41.136,164.045,28,228.898,428.99300000000005,15.62,280.937,0.113,0.316,282.825,280.937,1.889,298.944,282.888,16.055,1.1647,40.5431,472.0,0.2689,0.0067,19.3052,2.2313,14.4084,3.7027,7.3819,3.0027,,7.9844
