Date,After AI,Before AI
2007-12-31,135.1,78.2
2008-01-02,133.2,78.4
2008-01-03,133.2,76.6
2008-01-04,129.9,76.7
2008-01-07,130.4,76.2
2008-01-08,128.0,76.8
2008-01-09,129.8,76.7
2008-01-10,130.8,75.2
2008-01-11,129.0,76.4
2008-01-14,130.4,73.9
2008-01-15,127.2,72.4
2008-01-16,126.5,71.3
2008-01-17,122.8,71.7
2008-01-18,122.1,69.7
2008-01-22,120.7,69.3
2008-01-23,123.3,71.7
2008-01-24,124.5,70.7
2008-01-25,122.6,71.5
2008-01-28,124.7,71.9
2008-01-29,125.5,71.6
2008-01-30,124.9,72.3
2008-01-31,127.0,73.6
2008-02-01,128.6,72.8
2008-02-04,127.2,69.5
2008-02-05,123.2,69.4
2008-02-06,122.3,69.1
2008-02-07,123.3,68.3
2008-02-08,122.8,68.7
2008-02-11,123.5,70.2
2008-02-12,124.4,70.7
2008-02-13,126.1,70.3
2008-02-14,124.4,70.6
2008-02-15,124.6,71.3
2008-02-19,124.4,70.9
2008-02-20,125.5,70.8
2008-02-21,123.9,71.7
2008-02-22,124.9,72.8
2008-02-25,126.6,73.9
2008-02-26,127.5,74.2
2008-02-27,127.4,73.4
2008-02-28,126.3,71.6
2008-02-29,122.9,71.8
2008-03-03,122.9,70.7
2008-03-04,122.5,71.6
2008-03-05,123.2,70.6
2008-03-06,120.5,69.7
2008-03-07,119.5,69.4
2008-03-10,117.7,71.6
2008-03-11,122.1,71.6
2008-03-12,121.0,71.7
2008-03-13,121.6,70.0
2008-03-14,119.1,68.9
2008-03-17,118.0,71.0
2008-03-18,123.1,68.4
2008-03-19,120.1,69.5
2008-03-20,122.9,70.7
2008-03-24,124.8,71.8
2008-03-25,125.1,71.8
2008-03-26,124.0,71.7
2008-03-27,122.0,71.6
2008-03-28,121.1,71.9
2008-03-31,121.8,74.2
2008-04-01,126.1,74.3
2008-04-02,125.9,74.6
2008-04-03,126.1,74.8
2008-04-04,126.2,75.3
2008-04-07,126.4,74.5
2008-04-08,125.8,73.9
2008-04-09,124.8,73.6
2008-04-10,125.3,72.6
2008-04-11,122.8,72.8
2008-04-14,122.3,73.3
2008-04-15,122.9,75.6
2008-04-16,125.7,74.8
2008-04-17,125.8,75.3
2008-04-18,128.1,75.9
2008-04-21,127.9,75.1
2008-04-22,126.8,75.5
2008-04-23,127.1,75.0
2008-04-24,127.9,75.6
2008-04-25,128.8,76.1
2008-04-28,128.6,75.4
2008-04-29,128.1,75.8
2008-04-30,127.7,76.3
2008-05-01,129.9,76.5
2008-05-02,130.3,76.6
2008-05-05,129.7,77.2
2008-05-06,130.7,75.8
2008-05-07,128.4,76.5
2008-05-08,128.9,75.9
2008-05-09,128.0,76.6
2008-05-12,129.4,76.4
2008-05-13,129.4,76.4
2008-05-14,130.0,77.7
2008-05-15,131.4,78.5
2008-05-16,131.5,78.2
2008-05-19,131.7,77.5
2008-05-20,130.4,76.6
2008-05-21,128.4,77.5
2008-05-22,128.7,76.6
2008-05-23,127.0,76.5
2008-05-27,127.9,76.5
2008-05-28,128.4,76.3
2008-05-29,129.1,76.7
2008-05-30,129.3,75.9
2008-06-02,128.0,75.8
2008-06-03,127.2,75.3
2008-06-04,127.2,76.6
2008-06-05,129.7,74.4
2008-06-06,125.7,74.3
2008-06-09,125.8,73.0
2008-06-10,125.5,72.1
2008-06-11,123.4,71.8
2008-06-12,123.9,72.5
2008-06-13,125.7,72.9
2008-06-16,125.7,73.1
2008-06-17,124.9,72.5
2008-06-18,123.7,72.3
2008-06-19,124.2,70.8
2008-06-20,121.9,70.7
2008-06-23,121.9,70.4
2008-06-24,121.5,69.9
2008-06-25,122.3,68.1
2008-06-26,118.1,68.3
2008-06-27,117.7,68.7
2008-06-30,117.8,67.9
2008-07-01,118.3,66.9
2008-07-02,116.2,67.3
2008-07-03,116.3,66.7
2008-07-07,115.3,67.1
2008-07-08,117.3,66.2
2008-07-09,114.7,66.8
2008-07-10,115.5,65.7
2008-07-11,114.2,65.6
2008-07-14,113.2,64.5
2008-07-15,111.9,65.7
2008-07-16,114.8,66.7
2008-07-17,116.1,67.1
2008-07-18,116.2,67.5
2008-07-21,116.1,67.8
2008-07-22,117.7,68.0
2008-07-23,118.2,66.8
2008-07-24,115.4,66.9
2008-07-25,115.9,65.8
2008-07-28,113.8,66.4
2008-07-29,116.4,67.1
2008-07-30,118.4,66.4
2008-07-31,116.8,65.4
2008-08-01,116.2,64.8
2008-08-04,115.2,66.4
2008-08-05,118.5,66.4
2008-08-06,118.9,65.1
2008-08-07,116.8,65.4
2008-08-08,119.6,65.3
2008-08-11,120.5,64.9
2008-08-12,119.0,63.8
